id_evento;provincia;canton;parroquia;comunidad_barrio_sector;latitud;longitud;tipo_evento;causa;categoria_evento;fecha_evento;hora_del_evento;descripcion_del_evento;num_heridos;num_personas_desaparecidas;num_familias_afectadas;num_afectados_directamente;num_afectados_indirectamente;num_familias_damnificadas;num_personas_damnificadas;num_personas_evacuadas;num_personas_albergadas;num_personas_acojidas_por_familiares;num_personas_acojidas_por_otros_medios;personas_en_proceso_de_evacuacion;personas_resistidas_a_la_evacuacion;viviendas_afectadas;viviendas_destruidas;establecimientos_educativos_afectados;establecimientos_educativos_destruidos;centros_de_salud_afectados;centros_de_salud_destruidos;puentes_afectados;puentes_destruidos;bienes_publicos_afectados;bienes_publicos_destruidos;bienes_privados_afectados;bienes_privados_destruidos;vias_afectadas_m;cultivos_afectados_ha;cultivos_perdidos_ha;cobertura_vegetal_quemada_ha;animales_afectados;animales_muertos;fuente_del_evento;acciones;estado_evento;No. De personas afectadas;muertos_y_desaparecidos;num_personas_albergadas;num_personas_aph_rescate;nivel_evento;num_personas_impactadas;vias_afectadas_km
11;Tungurahua;Ambato;Pasa;Vía Pasa San Fernando;-1,27879415;-78,7211721;Deslizamiento;Lluvias;Época Lluviosa;25/5/2013;19:30:00;"En el sector se origina un derrumbe el mismo que cierra la vía por varias horas. Se realiza las coordinaciones del caso con varias instituciones luego de esto se coordina con el Ministerio de Transporte y Obras Públicas (MTOP) para la limpieza de escombros y rehabilitación de la vía.
Las tareas de remoción de escombros se las realiza hoy en la mañana alrededor de las 09H40 la misma que a las 12H07 dejan la vía expedita a la libre circulación.
Se desconoce las causas que originaron este incidente.
No hay reportes de personas heridas o fallecidas
SSN-2562-DES-TUN-26052013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;"Policía Nacional:
• 2 Patrullero (uno el día 25/05/2013 y el otro el día 26/05/2013)
• 4 efectivos (dos el día 25/05/2013 y el relevo el día 26/05/2013)";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,00
12;Tungurahua;Ambato;Pilahüín;Llangahua;-1,28432504;-78,8222973;Deslizamiento;Lluvias;Época Lluviosa;26/5/2013;22:00:00;"Cruz roja vía radio comunica al ECU 911 sobre la novedad la misma que es verificada por policía nacional, los compañeros comunican que es en el mismo sector que se originó un deslizamiento el día de ayer, este evento cierra la vía por varias horas. Se realiza las coordinaciones del caso con varias instituciones luego de esto se coordina con el Ministerio de Transporte y Obras Públicas (MTOP) y Concejo Provincial para la limpieza de escombros y rehabilitación de la vía.
Las tareas de remoción de escombros se las realiza hoy en la mañana alrededor de las 08H17 la misma que a las 11H07 dejan la vía libre para la circulación vehicular.
Se desconoce las causas que originaron este incidente.
No hay reportes de personas heridas o fallecidas
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;No especifica;"Ministerio de Transporte y Obras Publicas:
• 1 Cargadora
• 3 Efectivos
Consejo Provincial de Tungurahua:
• 1 Cargadora
• 2 Efectivos
Policía Nacional:
• 1 Patrullero 
• 2 efectivos
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,01
13;Tungurahua;Ambato;Pilahüín;Vía a Guaranda;-1,30561317;-78,7378996;Deslizamiento;Otra Causa;Época Lluviosa;28/5/2013;7:45:00;"El ECU-911 por información del alertante, nos informa sobre un deslizamiento en la vía Ambato – Guaranda el mismo que se produce por el desbordamiento del canal de riego que pasa por la parte alta de la peña, producto del desbordamiento del canal, el agua se filtra y se produce el deslizamiento de tierra con algunos árboles que al caer a la vía golpean algunos postes y el tendido eléctrico, dejando sin servicio eléctrico a todo el sector. Se toma contacto con la Empresa Eléctrica de Ambato el mismo que ya se dirigen al sector para restablecer el fluido eléctrico en el sector.
Se toma contacto con el Cuerpo de Ingenieros del Ejército los mismos que informan que ya se han dirigido al lugar para realizar las labores de limpieza.
No hay reportes de personas heridas o fallecidas.
";0;0;312;1250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;10;0;0;0;0;0;No especifica;"EEASA
1 CARRO GRUA
4 EFECTIVOS
CUERPO DE INGENIEROS DEL EJERCITO
1 VOLQUETA
1 RETRO EXCAVADORA
3 EFECTIVOS


MTOP AMBATO
1 CARGADORA
1 MOTO-NIVELADORA
3 EFECTIVOS
";Inicial;2;1;1;1;Nivel 2;1250;0,01
14;Tungurahua;Ambato;Augusto N. Martínez (Mundugleo);El Mirador;-1,16736765;-78,6294535;Deslizamiento;Lluvias;Época Lluviosa;25/8/2013;15:11:00;"Se produce un deslizamiento el mismo que obstaculizaba parte de la vía, Se desconoce las causas que originaron este evento. En el punto se encuentra Policía Nacional realizando tareas de seguridad.
Policía Nacional indica que se requiere maquinaria para la limpieza del material que se encuentra en la vía.
Se toma contacto con la Ing. Graciela Labre del Concejo Provincial la misma que indica que la vía no es de jurisdicción de esta institución.
Se realiza las llamadas pertinentes sin tener respuesta positiva. 
No se tiene reportes de personas heridas ni viviendas afectadas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;ECU 911 Ing. Sandra Toctaquiza                      Telf.: 3700740;"Policía Nacional:
• 1 Camioneta
• 2 Efectivos
";Inicial;1;1;1;1;Nivel 1;0;0,01
15;Tungurahua;Ambato;Pishilata;Paso Lateral;-1,26083312;-78,602966;Deslizamiento;Erosión;Época Lluviosa;30/8/2013;14:45:00;"Se produce un deslizamiento en el sector del Paso Lateral en el sentido sur – norte de la carretera que obstaculiza parte de la vía. Se coordina con la dirección del MTOP para el envió de maquinaria para desalojar el material acumulado y dejar la vía expedita al tránsito vehicular, Policía Nacional se encarga de brindar seguridad en el sector y toma las medidas necesarias para evitar contratiempos.
El área aproximada de afectación en la vía fue de 9 metros.
No se reportan personas heridas, ni viviendas afectadas
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;"Fernanda Chiriboga   ECU - 911      033700740
                Ing. Yessenia Gavilánez   DPGR-T   032412302
";"Policía Nacional
• 1 Patrullero
• 2 Efectivos
MTOP
• 1  Retroexcavadora 
• 1  Volqueta
• 14 Trabajadores
DPGR-T
• 1 Camioneta
• 2 Funcionarios
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,01
16;Tungurahua;Ambato;Juan Benigno Vela;Peña Blanca, Vía Ambato Guaranda;-1,30906726;-78,7090465;Deslizamiento;Lluvias;Época Lluviosa;18/9/2013;22:30:00;"Se produce un deslizamiento en el sector de Peña Blanca antes de llegar a Chibuleo en la vía Ambato – Guaranda el mismo que obstaculiza parte de la vía. Se mantiene comunicación telefónica con el Tnte. Crnel. Freddy Cruz representante del Cuerpo de Ingenieros del Ejército para coordinar la limpieza de la vía. La maquinaria que realiza la remoción del material acumulado demora en llegar al lugar del deslizamiento por la distancia en la que se encontraba y realizan las labores para dejar la vía expedita al tránsito vehicular.
En el lugar se encuentra Policía Nacional brindando seguridad y toma las medidas necesarias para evitar contratiempos y precautelar la integridad de los usuarios de esta vía.
La carretera se encuentra totalmente habilitada, la afectación fue de 10 metros aproximadamente en el carril con sentido Guaranda – Ambato.
No se reportan personas heridas, ni viviendas afectadas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;"José Luis Vaca                     ECU - 911      033700740
                 Lorena Gallegos                   ECU - 911      033700740
                 Tnte. Crnel. Freddy Cruz    Cuerpo de Ingenieros del Ejercito      0982097033
";"Policía Nacional
• 2 Patrullero
• 4 Efectivos
Cuerpo de Ingenieros del Ejercito
• 1 Retroexcavadora
• 1 Plataforma (Cama Baja)
• 1 Camioneta
• 5 Volquetas
• 12 trabajadores
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,01
17;Tungurahua;Ambato;Pasa;Llangagua antigua vía Aguajan Guaranda;-1,24049856;-78,738653;Deslizamiento;Lluvias;Época Lluviosa;6/10/2013;14:50:00;"ECU 911 Ambato, informa que en el sector de Llangahua se ha producido un deslizamiento que está obstaculizando la vía por completo, en el lugar se encuentra Policía Nacional brindando apoyo y seguridad para los vehículos.
Se toma contacto vía telefónica con el Ing. Fabian Mera del Consejo Provincial que lastimosamente no se tiene suerte y se le deja un mensaje, de la misma manera se toma contacto con la Ing. Graciela Labre del Consejo Provincial y nos manifiesta que si no fuera posible la limpieza el día de hoy se coordinara la limpieza el día de mañana, por no tener disponibles equipos humanos ni maquinaria para la labor de limpieza.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;Jose Luis Vaca / Abg. Lorena GallegosSGR ECU - 911      033700740;"POLICIA NACIONAL
• 2 Efectivos
• 1 Patrullero
";Inicial;1;1;1;1;Nivel 1;0;0,01
18;Tungurahua;Ambato;Pilahüín;Manzano Huaico ;-1,3422931;-78,8012548;Deslizamiento;Lluvias;Época Lluviosa;11/10/2013;7:59:00;"En el sector de Manzano Huayco se ha producido un deslizamiento que está obstaculizando la vía por completo, en el lugar se encuentra Policía Nacional brindando apoyo y seguridad para los vehículos.
Se toma contacto vía telefónica con el Ing. Fabian Mera del Consejo Provincial que lastimosamente no se tiene suerte y se le deja un mensaje, de la misma manera se toma contacto con la Ing. Iván Mariño del Consejo Provincial y de la misma manera no se tiene contestación y se le deja mensaje, a esto se toma contacto con la Ing. Graciela Labre quien nos ayuda con el número de teléfono del Ing. Jorge Sanchez quien es el contacto directo con el señor Prefecto, luego de llamarle nos indica que se enviara de inmediato la maquinaria para la limpieza de la misma, por medio de radio frecuencia los compañeros de la Policía Nacional indican que la maquinaria a cargo del consorcio Tungurahua realiza la limpieza y deja expedita la vía. La afectación que se registro en este caso es de 10 m en la vía.
Luego de que la maquinaria del consorcio Tungurahua se retiran del lugar, y el ECU-911 reciben una llamada de que se produce otro deslizamiento en lugar que esta vez es de magnitud a tal punto que cubre por completo el puente que cruza sobre el rio y comunica a estos caseríos, se toma contacto con los ingenieros anteriormente indicados y manifiestan que se tiene que esperar que llegue la maquinara para poder movilizarse al lugar y realizar la limpieza, de la misma manera se toma contacto con la EMAPA para que se suspenda el abastecimiento de agua potable a estos lugares para evitar una afectación mayor.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;Jose Luis Vaca / Lic. Grace Fierro  SGR ECU - 911      ;"POLICIA NACIONAL
• 2 EFECTIVOS
• 1 PATRULLERO
COSEJO PROVINCIAL
• 1 Volqueta
• 1 Cargadora
• 2 Efectivos
";Inicial;1;1;1;1;Nivel 1;0;0,01
19;Tungurahua;Ambato;Pasa;Molinos Tilulum ;-1,24049856;-78,738653;Deslizamiento;Lluvias;Época Lluviosa;14/10/2013;22:23:00;"ECU 911 Ambato, informa que en el sector de de los molinos de Tilulum se ha producido el derrumbe de rocas que han caído hacia la vía, se envía despacha a una Unidad de la Policía Nacional a confirmar el evento, Policía Nacional informa que se encuentra piedras medianas en la vía que si hay circulación vehicular que los autos están circulando por encima de estos escombros y que el personal colabora en el sitio, se trata de tomar contacto telefónico con el Ing. Fabián Mera del Consejo Provincial de Tungurahua por reiteradas ocasiones y no contesta; se toma contacto telefónico con el Ing. Jorge Sánchez  del Consejo Provincial el mismo que informa que el evento se coordinara el día de mañana martes 15 de octubre a primera hora.
15/10/2013
Se toma telefónico con el Ing. Jorge Sánchez del Consejo Provincial el mismo que informa que la maquinaria estaba en el lugar y desconoce si han retirado los escombros de la vía ya que no emitieron el respectivo informe por lo que solicita apoyo de Policía Nacional para verificar si la vía esta ya expedita, reportan que se encuentra en el lugar y que la vía se encuentra obstruida por la mitad y la otra mitad de la vía está habilitada; se toma contacto telefónico con el Ing. Jorge Sánchez del Consejo Provincial se informa de esta novedad por lo que indica que el día de mañana miércoles 16 de Octubre del 2013 se enviara maquinaria a primera hora para tratar el evento.
Cabe recalcar que esta información se la recibe hoy 16/10/2013 a las 00h00 por parte del ECU-911, por esta razón es que no se realizo el informe el día de ayer 15/10/2013.
Hasta el momento no se tiene reporte de afectación a viviendas o de personas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ing. Sandra Toctaquiza  SGR ECU - 911      033700740;"POLICIA NACIONAL
• 1 Patrullero
• 2 Efectivos
";Inicial;1;1;1;1;Nivel 1;0;0,00
20;Tungurahua;Ambato;Juan Benigno Vela;Chibuleo, vía a Guaranda;-1,30393005;-78,7063207;Deslizamiento;Lluvias;Época Lluviosa;16/10/2013;13:10:00;"ECU 911 Ambato, informa que en el sector de Chibuleo, vía a Guaranda se produjo un deslizamiento que obstaculiza parte de la  vía  Ambato -  Guaranda. 
Policía Nacional se encuentra en el lugar brindando seguridad a fin de tomar las medidas preventivas necesarias para precautelar la integridad de los usuarios de esta vía. Además se informa que maquinaria del municipio realizo el trabajo necesario para dejar la vía expedita al tránsito vehicular.
El área de afectación fue de aproximadamente 3 metros 
No se reportan personas heridas, ni viviendas afectadas
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;José Luis Vaca   ECU - 911      033700740;"Municipio de Ambato
• 1 Excavadora
• 1 Cargadora
• 2 Volquetas
Policía Nacional
• 1 Patrullero
• 2 Efectivos
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,00
21;Tungurahua;Ambato;Juan Benigno Vela;Chibuleo;-1,33587407;-78,7204516;Deslizamiento;Lluvias;Época Lluviosa;18/10/2013;4:40:00;"ECU 911 Ambato, informa que en el sector, vía Ambato-Guaranda se produjo un deslizamiento que obstaculiza parte de la  misma. 
Policía Nacional se encuentra en el lugar brindando seguridad a fin de tomar las medidas preventivas necesarias para precautelar la integridad de los usuarios de esta vía.
El Cuerpo de Ingenieros del Ejército acude al lugar con maquinaria y realiza el trabajo necesario para dejar la vía expedita al tránsito vehicular, dejando la vía habilitada a las 07h30 aproximadamente.
La afectación se reporta en unos 10 metros de vía. 
No se reportan personas heridas, ni viviendas afectadas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;"Sandra Toctaquiza   ECU - 911      033700740
Teniente Coronel Freddy Cruz    Cuerpo de Ingenieros del Ejercito Telf.: 0982097033
";"CUERPO DE ING DEL EJERCITO
• 14 Personal 
• 1 Cargadora
• 4 Volquetas
• 1 Retroexcavadora
Policía Nacional
• 1 Patrullero
• 2 Efectivos
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,01
22;Tungurahua;Ambato;La Península;Puente curvo Ingahurco;-1,22965544;-78,6117595;Deslizamiento;Lluvias;Época Lluviosa;18/10/2013;12:03:00;"ECU 911 Ambato, informa que en el sector se produjo un deslizamiento que obstaculiza parte de la vía. Policía Nacional se encuentra en el lugar brindando seguridad a fin de tomar las medidas preventivas necesarias para precautelar la integridad de los usuarios de esta vía. Además se informa telefónicamente al Ing Cunalatafuncionario del Municipio de Ambato para coordinar las acciones de limpieza del material acumulado.
Al momento la vía se encuentra expedita al tránsito vehicular.
El área de afectación fue de aproximadamente 50 metros
No se reportan personas heridas, ni viviendas afectadas
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;Fernanda Chiriboga/ Jose Luis Vaca   SNG-ECU - 911      033700740;"Municipio de Ambato
• 1 Cargadora
• 1 Volquetas
• 1 Tanquero
• 4 personas
Policía Nacional
• 1 Patrullero
• 2 Efectivos
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,05
23;Tungurahua;Ambato;San Bartolomé de Pinllo;Detrás del cementerio en la vía alterna a Quisapincha.;-1,22859022;-78,6436881;Deslizamiento;Lluvias;Época Lluviosa;21/10/2013;8:15:00;"ECU 911 Ambato, informa que en el sector del cementerio en la vía alterna a Quisapincha se produjo un deslizamiento que obstaculiza parte de la  misma. 
Policía Nacional se encuentra en el lugar brindando seguridad a fin de tomar las medidas preventivas necesarias para precautelar la integridad de los usuarios de esta vía.
Personal de Consejo Provincial de Tungurahua envió la maquinaria para que se realice la limpieza de la vía. La cual se encuentra limpia y expedita para la libre circulación.

La afectación se reporta en unos 3 metros de vía. 
No se reportan personas heridas, ni viviendas afectadas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;"Grace Fierro  ECU - 911      033700740
                 Cbo. Fernanda Lazcano  ( POLICIA NACIONAL ECU911)
";"CONSEJO PROVINCIAL DE TUNGURAHUA
• 2 Operarios
• 1 Volquetas
• 1 Retroexcavadora
Policía Nacional
• 1 Patrullero
• 2 Efectivos
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,00
24;Tungurahua;Ambato;Pishilata;Paso Lateral;-1,24606362;-78,5939176;Deslizamiento;Lluvias;Época Lluviosa;29/10/2013;17:00:00;"ECU 911 Ambato, informa que en el sector del paso lateral pasando el puente se produce un deslizamiento que obstaculiza la vía y se interrumpe el flujo normal del tránsito vehicular en la zona.
Policía Nacional se encuentra en el lugar brindando seguridad a fin de tomar las medidas preventivas necesarias para precautelar la integridad de los usuarios de esta vía.
Personal del MTOP dirección provincial de Tungurahua envía la maquinaria para que se realice la limpieza de la vía. 
No se reportan personas heridas, ni viviendas afectadas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Ing. Jose Luis Vaca SGR  ECU - 911      033700740
 Cbo. Vinicio Vaca  POLICIA NACIONAL ECU-911
Ing. Luis Guevara   Director Encargado MTOP
";"MTOP TUNGURAHUA
• 5 Operarios
• 1 Volqueta
• 1 Cargadora
Policía Nacional
• 1 Patrullero
• 2 Efectivos
";Inicial;1;1;1;1;Nivel 1;0;0,00
25;Tungurahua;Ambato;Juan Benigno Vela;Pasando el Puente de Peña Blanca;-1,31356069;-78,7096442;Deslizamiento;Lluvias;Época Lluviosa;4/11/2013;6:30:00;"El ECU-911, nos informa de un deslizamiento producido en la vía Ambato-Guaranda, el cual obstruye por completo la vía no se tiene conocimiento de la razón del porque se produjo el deslizamiento, se toma contacto con el Cuerpo de Ingenieros del Ejército para la colaboración en la limpieza de la vía.
Se tiene conocimiento que el tráfico vehicular está usando la vía alterna Ambato-Aguajan-Guaranda.

Hasta el momento no se tiene información de la afectación en la vía.

No se reportan personas heridas, ni viviendas afectadas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;"SGR: Abg. Lorena Gallegos (ECU911)
CUERPO DE INGENIEROS DEL EJERCITO
Sgto. Luis Moreta
";"CUERPO DE INGENIEROS DEL EJERCITO
• 1 VOLQUETA
• 1 CARGADORA
• 6 PERSONAS
POLICIA NACIONAL
• 1 PATRULLERO
• 2 EFECTIVOS
";Inicial;1;1;1;1;Nivel 1;0;0,01
